Имя: Windows PowerShell Настройка окружения, Расширение: .txt, Каталог: False, Родительский каталог: 
Имя: _Лекция 10. Погружение в Python. ООП. Начало, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 1. Погружение в Python. Основы Python (1), Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 1. Погружение в Python. Основы Python, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 10. Погружение в Python. ООП. Начало, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 2. Погружение в Python. Простые типы данных (1), Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 2. Погружение в Python. Простые типы данных, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 3. Погружение в Python. Коллекции, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 4. Погружение в Python. Функции, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 5. Погружение в Python. Итераторы и генераторы, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 6. Погружение в Python. Модули, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 7. Погружение в Python. Файлы и файловая система, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Лекция 9. Погружение в Python. Декораторы, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 11. Погружение в Python. ООП. Особенности Python, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 12. Погружение в Python. ООП. Финал, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 13. Погружение в Python. Исключения, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 4. Погружение в Python. Функции, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 5. Погружение в Python. Итераторы и генераторы (1), Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 6. Погружение в Python. Модули, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 7. Погружение в Python. Файлы и файловая система, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 8. Погружение в Python. Сериализация, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Методичка 9. Погружение в Python. Декораторы, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Презентация 11. Погружение в Python. ООП. Особенности Python, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Презентация 12. Погружение в Python. ООП. Финал, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Презентация 13. Погружение в Python. Исключения, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Презентация 3. Погружение в Python. Коллекции, Расширение: .pdf, Каталог: False, Родительский каталог: 
Имя: Презентация 8. Погружение в Python. Сериализация, Расширение: .pdf, Каталог: False, Родительский каталог: 
